;keywords;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
316;comorbidity;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
317;geriatric nephrology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
318;goals;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
319;cuidados paliativos;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
320;humans;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
321;cuidados centrados en la familia;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
322;longevity;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
323;medical futility;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
324;consentimiento informado;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
325;moral obligations;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
326;negotiating;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
327;asistolia controlada;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
328;cognition disorders;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
329;animal ethics;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
330;racial inequality;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
331;brain death in pregnancy;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
332;uncontrolled;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
333;child organ trafficking;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
334;trafficking of human being for organ removal;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
335;nonheart beating donation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
336;muslim families;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
337;recommendations;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
338;societal;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
339;donation decision;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
340;moral theory;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
341;policy methodology;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
342;religious studies;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
343;axonal injury;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
344;cardiology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
345;vital organ transplantation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
346;frailty;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
347;midwives;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
348;mild cognitive impairment;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
349;gestational surrogacy;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
350;gamete donation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
351;older patients;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
352;controlled donation after circulatory determination of death;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
353;dobutamine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
354;astrocytes;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
355;microglia;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
356;transplant candidates;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
357;regulatory aspects;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
358;luck egalitarianism;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
359;meld;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
360;organ transplant waiting list;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
361;organ waiting list;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
362;bibliometrics;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
363;traumatic brain injury;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
364;tissue plasminogen activator;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
365;neuroserpin;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
366;eurotransplant;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
367;neurons;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
368;vascularized composite allografts;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
369;ethics and public policy discipline;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
370;netherlands;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
371;cerebellum;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
372;cerebrum;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
373;united network for organ;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
374;business;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
375;neuronal injury;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
376;management;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
377;pico;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
378;evidence;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
379;randomized controlled trial;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
380;psychiatric illness;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
381;transplant eligibility;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
382;sale of human organs;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
383;feasibility;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
384;organisational development;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
385;donation after brain death;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
386;extended criteria donor;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
387;organ grafts;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
388;hypothermia;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
389;hypothermic oxygenated machine perfusion;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
390;addiction;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
391;cardiovascular disease;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
392;animal moral status;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
393;animal experimentation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
394;high intensity interval training;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
395;change management;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
396;immunology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
397;donor after circulatory death;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
398;opioid analgesics;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
399;perioperative;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
400;opioid substitution therapy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
401;patient selection;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
402;the national kidney registry;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
403;kidney chains;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
404;kidney exchanges;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
405;kidney vouchers;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
406;randomized;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
407;temperature;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
408;hepatobiliary disease;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
409;organ tourism;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
410;hepatobiliary tumours;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
411;chronic disease;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
412;health behavior;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
413;self care;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
414;early warning;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
415;biomedical technologies;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
416;heart rate variability;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
417;patient deterioration;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
418;reimbursement;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
419;dual agency;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
420;physician duties;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
421;fetal demise;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
422;kidney replacement therapy;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
423;role morality;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
424;orthodox judaism;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
425;ethical framework;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
426;roman catholicism;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
427;turkey;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
428;religious affairs administration;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
429;equity;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
430;neonates;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
431;procedures with insufficient science;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
432;normothermic regional perfusion;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
433;respiratory diseases;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
434;acute on chronic liver failure;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
435;physicians;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
436;limitacion del esfuerzo terapeutico;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
437;3rs;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
438;anaesthesia;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
439;limitacion de tratamientos de soporte vital;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
440;donacion;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
441;cuidados intensivos;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
442;adequate therapeutic effort;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
443;ethics and welfare;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
444;adecuacion del esfuerzo terapeutico;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
445;techniques;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
446;transcultural bioethics;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
447;gender gap;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
448;legal issues;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
449;ars moriendi;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
450;attitudes toward organ donation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
451;confucianism;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
452;theology of death;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
453;asklepieions;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
454;hippocrates;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
455;medical art;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
456;healthcare utilization;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
457;professional diligence;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
458;kindness;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
459;care ethics;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
460;living kidney donors;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
461;deontology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
462;history;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
463;walter glannon;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
464;allocation of transplantable livers;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
465;asia;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
466;causal responsibility;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
467;moral responsibility;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
468;wickedness of character;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
469;compulsory organ retrieval;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
470;motivating living kidney donation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
471;consequentialism;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
472;social complications;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
473;limitation of therapeutic effort;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
474;telling the truth;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
475;beneficence;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
476;necropsy;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
477;structural injustice;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
478;necropsia;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
479;divine consent;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
480;kidney sale;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
481;muerte;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
482;rheumatoid arthritis;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
483;alternatives;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
484;healthcare legislation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
485;bioethics law;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
486;gout;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
487;vein graft failure;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
488;social support;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
489;coronary artery bypass grafting;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
490;vascular endothelial growth factor a;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
491;subarachnoid hemorrhage;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
492;platelet adhesion;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
493;endothelial damage inhibitor;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
494;collagen;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
495;myocardial infarction;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
496;patency;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
497;saphenous vein graft;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
498;adult intensive care;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
499;extent of intensive care treatment;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
500;brain injuries;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
501;publishing;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
502;research integrity;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
503;physical activity;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
504;ehealth;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
505;pediatric patients;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
506;neonatal donation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
507;fanconi anemia;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
508;hematopoietic stem cells;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
509;tissue donors;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
510;inequities;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
511;health care rationing;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
512;vascular endothelial growth factor receptor 2;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
513;metaphysics;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
514;presumption of consent for transplantation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
515;consentement presume;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
516;surrogacy;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
517;societal entrenchment;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
518;loi de bioethique;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
519;ethical problems;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
520;discourse;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
521;allotransplantation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
522;care;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
523;ningen;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
524;person;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
525;japan;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
526;pediatric kidney transplant recipients;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
527;older kidney transplant recipients;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
528;facialtransplant;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
529;greffe de visage;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
530;immunosenescence;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
531;de novo donor specific antibodies;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
532;soin;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
533;scoping review;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
534;substance use;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
535;daniel brudney;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
536;donor risk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
537;body donors;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
538;alcoholic abstinence;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
539;organ transplant policy;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
540;policy development;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
541;islamic bioethics;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
542;islamic law;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
543;religiosity;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
544;ethnographic study;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
545;kidney diseases;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
546;innovation in surgery;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
547;donor satisfaction;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
548;qualitative analysis;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
549;alcoholic cirrhosis;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
550;adam smith;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
551;alcoholic hepatitis;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
552;sharing;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
553;alcoholic liver disease;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
554;human person;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
555;human embodiment;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
556;alcoholic recurrence;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
557;relapse;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
558;selection criteria;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
559;nephrotoxicity;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
560;specialist nurses;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
561;declaration of istanbul;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
562;stewardship role of the state;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
563;preemptive kidney transplantation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
564;economic analysis;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
565;body donation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
566;cirrhosis;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
567;critical;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
568;intensive;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
569;intubation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
570;laws on transplantation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
571;anatomy education;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
572;laws on transplantation and contemporaneity;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
573;experiences;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
574;savior sibling;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
575;poverty;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
576;state incentives;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
577;liver transplant;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
578;patient satisfaction;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
579;randomised evaluation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
580;video clinic;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
581;animal;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
582;cell;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
583;paid organ donation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
584;genetic modification;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
585;reciprocity and solidarity;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
586;regulatory design;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
587;ocimum basilicum;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
588;pcna;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
589;tacrolimus;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
590;positive bias;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
591;organ bioengineering;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
592;recellularization;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
593;patient engagement in research;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
594;qualitative methodology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
595;japanese;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
596;mycophenolic acid;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
597;diagnosis;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
598;mycophenolic acid acyl glucuronide;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
599;saudi arabia;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
600;petinia;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
601;porcine simulation training model;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
602;depistage;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
603;robotic kidney transplantation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
604;dcd;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
605;awareness;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
606;terminal care;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
607;extension of organ transplantation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
608;absolute uterine factor infertility;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
609;opinion;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
610;deterrents;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
611;medical records;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
612;narratives;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
613;extracellular matrix scaffold;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
614;decellularization;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
615;myocardial perfusion;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
616;magnetic resonance imaging;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
617;expert patient;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
618;insuffisance renale;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
619;miniaturisation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
620;nursing roles;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
621;nephrologie;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
622;hand transplantation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
623;parcours;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
624;caregiver burden;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
625;pathway;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
