;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
3206;typing;1;1;1;0;0;1;0;0;2;1;0;7;0;0.67;0.64;2
3207;catastrophic;1;0;0;1;1;0;0;3;1;0;0;7;0;0.92;0.64;3
3208;tblb;0;0;0;0;0;0;0;0;0;7;0;7;0;2.11;0.64;7
3209;shl;0;0;0;0;0;0;0;0;0;0;7;7;0;2.11;0.64;7
3210;krt;0;0;0;0;0;0;0;0;2;0;5;7;0;1.57;0.64;5
3211;categorize;0;0;0;0;0;0;0;0;4;0;3;7;0;1.43;0.64;4
3212;endorse;0;0;0;1;0;0;0;4;1;1;0;7;0;1.21;0.64;4
3213;gtex;0;0;0;0;0;0;1;0;6;0;0;7;0;1.8;0.64;6
3214;violation;1;0;2;0;0;1;0;2;1;0;0;7;0;0.81;0.64;2
3215;transgender;0;0;0;0;0;6;0;0;0;1;0;7;0;1.8;0.64;6
3216;endogenous;0;0;0;1;0;0;2;0;0;0;4;7;0;1.29;0.64;4
3217;ps;0;0;0;0;0;0;0;0;7;0;0;7;0;2.11;0.64;7
3218;random;1;1;1;2;0;0;1;0;1;0;0;7;0;0.67;0.64;2
3219;unprecedented;1;1;1;0;0;1;2;0;0;0;1;7;0;0.67;0.64;2
3220;romanian;2;0;1;2;0;0;0;0;0;2;0;7;0;0.92;0.64;2
3221;temporal;0;0;0;1;1;0;3;0;2;0;0;7;0;1.03;0.64;3
3222;tragedy;0;0;0;4;1;0;1;0;1;0;0;7;0;1.21;0.64;4
3223;neurologically;0;0;0;0;0;0;0;1;0;1;5;7;0;1.5;0.64;5
3224;metaphysical;0;0;0;0;0;2;0;0;0;5;0;7;0;1.57;0.64;5
3225;train;0;0;0;0;0;3;1;0;1;2;0;7;0;1.03;0.64;3
3226;holistic;0;0;0;0;0;1;2;0;1;1;2;7;0;0.81;0.64;2
3227;affirm;1;0;0;0;0;1;0;0;2;2;1;7;0;0.81;0.64;2
3228;nonstandard;0;0;0;2;0;0;0;2;0;3;0;7;0;1.12;0.64;3
3229;harris;7;0;0;0;0;0;0;0;0;0;0;7;0;2.11;0.64;7
3230;huge;1;1;0;0;1;0;1;0;1;1;1;7;0;0.5;0.64;1
3231;vend;0;0;0;0;0;3;1;3;0;0;0;7;0;1.21;0.64;3
3232;immunodeficiency;0;0;0;0;0;0;1;0;5;1;0;7;0;1.5;0.64;5
3233;1970;1;0;0;0;0;0;1;1;0;4;0;7;0;1.21;0.64;4
3234;pluripotent;1;2;1;0;1;1;0;1;0;0;0;7;0;0.67;0.64;2
3235;customize;0;0;0;0;0;0;0;3;4;0;0;7;0;1.43;0.64;4
3236;kdigo;0;0;0;0;0;0;0;0;0;0;7;7;0;2.11;0.64;7
3237;counter;1;0;1;0;1;2;1;0;0;1;0;7;0;0.67;0.64;2
3238;illuminate;0;0;0;0;0;3;0;1;1;2;0;7;0;1.03;0.64;3
3239;associated;0;0;0;1;0;0;0;0;0;4;2;7;0;1.29;0.64;4
3240;geography;0;0;0;1;0;2;0;3;1;0;0;7;0;1.03;0.64;3
3241;external;0;0;0;1;2;0;1;0;2;1;0;7;0;0.81;0.64;2
3242;extubation;1;0;0;1;0;2;0;1;0;1;1;7;0;0.67;0.64;2
3243;duragraft;0;0;0;0;0;0;0;0;0;7;0;7;0;2.11;0.64;7
3244;1.02;0;0;0;1;1;0;0;0;2;2;1;7;0;0.81;0.64;2
3245;kdri;0;0;0;0;0;0;0;0;7;0;0;7;0;2.11;0.64;7
3246;scholarly;0;0;0;2;0;1;2;2;0;0;0;7;0;0.92;0.64;2
3247;probable;0;0;0;1;2;0;0;3;1;0;0;7;0;1.03;0.64;3
3248;differential;0;0;0;1;1;3;0;1;1;0;0;7;0;0.92;0.64;3
3249;low-;0;0;0;0;0;0;0;0;3;0;4;7;0;1.43;0.64;4
3250;paramount;1;0;0;0;1;0;1;1;0;1;2;7;0;0.67;0.64;2
3251;locate;1;0;0;0;1;1;0;2;0;2;0;7;0;0.81;0.64;2
3252;entitle;1;0;3;0;0;1;1;0;0;1;0;7;0;0.92;0.64;3
3253;arrangement;1;1;2;0;1;0;1;0;1;0;0;7;0;0.67;0.64;2
3254;tract;0;0;0;1;2;0;1;1;0;0;2;7;0;0.81;0.64;2
3255;hemodialysi;0;0;0;1;0;2;0;0;1;0;3;7;0;1.03;0.64;3
3256;pulmonologist;0;0;0;1;0;0;0;0;0;0;6;7;0;1.8;0.64;6
3257;lobe;2;0;3;0;0;1;0;0;1;0;0;7;0;1.03;0.64;3
3258;comprehensively;0;0;0;0;0;2;1;1;1;1;1;7;0;0.67;0.64;2
3259;ignore;2;0;3;0;0;0;0;0;1;1;0;7;0;1.03;0.64;3
3260;ripc;0;0;0;0;0;0;0;0;0;0;7;7;0;2.11;0.64;7
3261;collaborative;0;0;0;1;0;1;0;2;1;0;2;7;0;0.81;0.64;2
3262;specificity;1;0;0;3;0;1;0;0;1;1;0;7;0;0.92;0.64;3
3263;deficit;0;0;0;2;0;1;0;1;0;3;0;7;0;1.03;0.64;3
3264;emphasise;1;0;0;1;1;0;0;1;0;2;1;7;0;0.67;0.64;2
3265;uncertain;0;0;0;1;1;0;1;0;0;1;3;7;0;0.92;0.64;3
3266;validated;0;0;0;1;1;0;1;0;3;0;1;7;0;0.92;0.64;3
3267;extraordinary;2;0;0;0;0;0;0;1;0;2;2;7;0;0.92;0.64;2
3268;unjustified;1;0;0;1;1;0;0;1;2;0;1;7;0;0.67;0.64;2
3269;proximal;1;0;0;0;0;0;0;1;5;0;0;7;0;1.5;0.64;5
3270;honor;0;0;0;0;1;2;0;1;2;1;0;7;0;0.81;0.64;2
3271;mh;0;0;0;0;0;0;0;0;0;3;4;7;0;1.43;0.64;4
3272;shorten;0;0;0;0;3;0;2;0;1;1;0;7;0;1.03;0.64;3
3273;nrp;0;0;0;0;0;0;0;0;0;1;6;7;0;1.8;0.64;6
3274;remote;0;0;0;0;0;3;1;0;0;1;2;7;0;1.03;0.64;3
3275;articulate;1;1;0;0;0;1;3;0;1;0;0;7;0;0.92;0.64;3
3276;narrow;1;0;0;0;2;1;0;1;0;2;0;7;0;0.81;0.64;2
3277;iav;0;0;0;0;0;0;0;0;0;7;0;7;0;2.11;0.64;7
3278;mix;0;0;1;0;0;0;0;0;1;2;3;7;0;1.03;0.64;3
3279;precise;1;0;0;0;0;1;2;1;0;1;1;7;0;0.67;0.64;2
3280;camp;6;0;0;0;0;0;1;0;0;0;0;7;0;1.8;0.64;6
3281;cxcl10;0;0;0;0;0;0;0;0;0;7;0;7;0;2.11;0.64;7
3282;summarise;1;0;0;0;0;1;0;4;0;1;0;7;0;1.21;0.64;4
3283;deontology;0;0;0;0;6;0;0;0;1;0;0;7;0;1.8;0.64;6
3284;properly;0;0;0;0;3;1;0;0;1;1;1;7;0;0.92;0.64;3
3285;beecher;0;0;4;0;0;0;0;0;3;0;0;7;0;1.43;0.64;4
3286;hcps;0;0;0;0;1;0;0;0;0;6;0;7;0;1.8;0.64;6
3287;powerful;3;1;0;0;2;1;0;0;0;0;0;7;0;1.03;0.64;3
3288;pearson;1;0;0;1;0;0;0;0;4;1;0;7;0;1.21;0.64;4
3289;worthy;1;0;0;1;0;0;0;0;3;2;0;7;0;1.03;0.64;3
3290;ocular;0;0;0;0;3;0;0;1;3;0;0;7;0;1.21;0.64;3
3291;93;1;0;0;2;0;0;1;0;2;1;0;7;0;0.81;0.64;2
3292;eastern;0;0;0;0;2;0;2;0;2;1;0;7;0;0.92;0.64;2
3293;apoptotic;0;2;0;0;0;0;0;0;0;2;3;7;0;1.12;0.64;3
3294;triage;0;0;0;0;1;1;0;0;0;0;5;7;0;1.5;0.64;5
3295;phenomenological;0;0;0;0;2;2;0;0;1;1;1;7;0;0.81;0.64;2
3296;bile;0;0;1;0;1;0;0;4;0;1;0;7;0;1.21;0.64;4
3297;likert;0;0;0;0;1;1;0;1;2;2;0;7;0;0.81;0.64;2
3298;touch;3;0;1;0;0;0;1;0;0;1;1;7;0;0.92;0.64;3
3299;character;0;0;1;0;0;0;0;1;3;1;1;7;0;0.92;0.64;3
3300;unjust;3;0;1;0;1;0;0;1;0;1;0;7;0;0.92;0.64;3
3301;advisory;0;0;0;0;0;0;4;2;0;0;1;7;0;1.29;0.64;4
3302;row;1;0;0;0;0;6;0;0;0;0;0;7;0;1.8;0.64;6
3303;urge;1;0;0;0;0;0;2;0;3;1;0;7;0;1.03;0.64;3
3304;fit;1;1;1;2;0;0;1;0;0;0;1;7;0;0.67;0.64;2
3305;dna;1;1;0;0;0;2;0;0;2;0;1;7;0;0.81;0.64;2
3306;retardation;0;0;7;0;0;0;0;0;0;0;0;7;0;2.11;0.64;7
3307;gauteng;0;0;0;0;0;0;0;4;2;1;0;7;0;1.29;0.64;4
3308;ultrasound;0;0;0;0;0;1;0;0;0;6;0;7;0;1.8;0.64;6
3309;commission;2;0;2;0;0;1;0;1;0;1;0;7;0;0.81;0.64;2
3310;emotion;0;0;0;0;2;0;1;1;2;1;0;7;0;0.81;0.64;2
3311;distance;1;0;0;1;1;1;1;0;1;1;0;7;0;0.5;0.64;1
3312;geographical;1;0;1;1;0;2;1;1;0;0;0;7;0;0.67;0.64;2
3313;alongside;0;0;0;0;1;1;1;0;2;1;1;7;0;0.67;0.64;2
3314;irreversibility;3;0;0;0;1;0;1;0;2;0;0;7;0;1.03;0.64;3
3315;strictly;2;0;0;0;0;0;3;0;0;2;0;7;0;1.12;0.64;3
3316;coercive;0;0;2;0;0;0;4;1;0;0;0;7;0;1.29;0.64;4
3317;autotransplantation;1;1;1;0;0;0;0;0;4;0;0;7;0;1.21;0.64;4
3318;intensivist;2;0;0;1;1;0;0;0;0;3;0;7;0;1.03;0.64;3
3319;governance;3;2;0;0;0;0;0;1;1;0;0;7;0;1.03;0.64;3
3320;norway;0;0;3;0;0;0;2;1;1;0;0;7;0;1.03;0.64;3
3321;specialty;0;0;0;0;0;0;0;0;0;4;3;7;0;1.43;0.64;4
3322;ltbi;0;0;0;0;0;7;0;0;0;0;0;7;0;2.11;0.64;7
3323;green;0;0;0;0;1;1;0;0;1;4;0;7;0;1.21;0.64;4
3324;muscular;0;0;0;0;1;0;0;0;1;0;5;7;0;1.5;0.64;5
3325;terminology;2;1;0;0;2;2;0;0;0;0;0;7;0;0.92;0.64;2
3326;broadly;0;0;0;0;1;0;0;1;2;1;1;6;0;0.69;0.55;2
3327;ir;0;0;0;0;0;0;0;0;1;5;0;6;0;1.51;0.55;5
3328;commodity;0;2;1;0;1;0;0;1;1;0;0;6;0;0.69;0.55;2
3329;3.8;1;0;1;1;1;0;0;0;1;1;0;6;0;0.52;0.55;1
3330;qaly;0;0;0;0;1;0;0;0;0;5;0;6;0;1.51;0.55;5
3331;ue;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3332;bond;2;0;0;2;0;0;0;0;0;0;2;6;0;0.93;0.55;2
3333;truly;0;1;1;0;1;0;0;0;3;0;0;6;0;0.93;0.55;3
3334;diversity;0;0;1;0;1;0;0;0;2;2;0;6;0;0.82;0.55;2
3335;convey;1;1;0;1;0;2;0;1;0;0;0;6;0;0.69;0.55;2
3336;opponent;1;0;1;0;0;2;0;1;0;1;0;6;0;0.69;0.55;2
3337;ncnrs;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3338;reminder;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3339;anthropological;0;1;1;0;3;0;0;0;0;1;0;6;0;0.93;0.55;3
3340;nephrotoxicity;0;0;0;1;0;0;0;0;5;0;0;6;0;1.51;0.55;5
3341;killing;1;0;0;1;0;2;0;0;1;0;1;6;0;0.69;0.55;2
3342;eventual;2;0;0;2;0;0;0;1;1;0;0;6;0;0.82;0.55;2
3343;waste;1;0;1;0;1;0;0;0;3;0;0;6;0;0.93;0.55;3
3344;bioprinte;0;0;0;0;0;0;0;4;2;0;0;6;0;1.29;0.55;4
3345;locally;1;0;0;0;1;0;1;2;1;0;0;6;0;0.69;0.55;2
3346;anthropology;0;2;1;0;1;0;0;0;1;1;0;6;0;0.69;0.55;2
3347;centers;0;1;0;0;2;0;2;1;0;0;0;6;0;0.82;0.55;2
3348;ode;0;0;0;0;0;0;0;0;5;1;0;6;0;1.51;0.55;5
3349;1954;0;0;0;0;1;3;1;0;0;1;0;6;0;0.93;0.55;3
3350;excellence;0;1;0;1;1;0;1;0;0;2;0;6;0;0.69;0.55;2
3351;fight;0;0;0;0;2;2;1;1;0;0;0;6;0;0.82;0.55;2
3352;extant;0;1;0;0;1;2;0;2;0;0;0;6;0;0.82;0.55;2
3353;ukraine;0;0;0;0;0;0;0;0;0;6;0;6;0;1.81;0.55;6
3354;concerted;0;0;0;2;0;2;0;0;0;2;0;6;0;0.93;0.55;2
3355;designate;0;0;0;2;0;1;1;0;0;1;1;6;0;0.69;0.55;2
3356;quandary;0;1;0;0;2;2;1;0;0;0;0;6;0;0.82;0.55;2
3357;neo;0;2;0;0;3;0;0;1;0;0;0;6;0;1.04;0.55;3
3358;txa;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3359;continuation;0;0;0;0;1;0;2;1;0;1;1;6;0;0.69;0.55;2
3360;disproportionately;0;0;0;0;1;0;0;2;1;2;0;6;0;0.82;0.55;2
3361;gamma;0;0;0;5;0;1;0;0;0;0;0;6;0;1.51;0.55;5
3362;mentally;0;0;2;0;4;0;0;0;0;0;0;6;0;1.29;0.55;4
3363;ideally;0;0;2;0;1;0;1;1;0;0;1;6;0;0.69;0.55;2
3364;worsen;0;0;0;0;1;1;1;2;1;0;0;6;0;0.69;0.55;2
3365;perpetuate;0;0;0;0;2;1;0;0;2;0;1;6;0;0.82;0.55;2
3366;television;0;0;1;0;0;0;0;4;1;0;0;6;0;1.21;0.55;4
3367;gf;0;0;0;0;0;0;0;0;0;0;6;6;0;1.81;0.55;6
3368;affair;0;1;0;0;0;2;0;1;2;0;0;6;0;0.82;0.55;2
3369;evnp;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3370;pfge;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3371;neutrality;0;0;0;0;0;0;4;1;0;0;1;6;0;1.21;0.55;4
3372;prediabetic;0;0;0;0;6;0;0;0;0;0;0;6;0;1.81;0.55;6
3373;6-month;0;0;2;0;0;0;0;2;0;0;2;6;0;0.93;0.55;2
3374;inability;1;0;0;0;0;0;0;0;3;0;2;6;0;1.04;0.55;3
3375;announcement;0;0;0;0;1;3;2;0;0;0;0;6;0;1.04;0.55;3
3376;chapter;0;0;0;2;0;0;2;1;0;1;0;6;0;0.82;0.55;2
3377;bsis;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3378;fourth;0;0;0;1;1;0;2;1;0;1;0;6;0;0.69;0.55;2
3379;na;0;0;0;0;0;0;0;0;0;0;6;6;0;1.81;0.55;6
3380;enactment;2;0;1;0;0;0;0;0;2;1;0;6;0;0.82;0.55;2
3381;xenotransplant;0;0;0;0;0;1;1;1;1;0;2;6;0;0.69;0.55;2
3382;intuitive;0;0;0;0;0;1;0;1;3;1;0;6;0;0.93;0.55;3
3383;bottle;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3384;alpha;0;0;0;5;0;1;0;0;0;0;0;6;0;1.51;0.55;5
3385;deformity;1;0;2;0;0;0;2;0;0;1;0;6;0;0.82;0.55;2
3386;implicit;0;0;1;1;2;1;0;0;0;1;0;6;0;0.69;0.55;2
3387;cirrhotic;0;0;1;0;0;0;0;0;4;0;1;6;0;1.21;0.55;4
3388;surveillance;0;0;0;0;0;0;1;0;2;3;0;6;0;1.04;0.55;3
3389;bmt;0;6;0;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3390;transaminase;0;4;0;0;0;0;0;0;2;0;0;6;0;1.29;0.55;4
3391;gradient;3;0;0;1;0;1;1;0;0;0;0;6;0;0.93;0.55;3
3392;paired;0;1;1;0;0;0;0;2;1;1;0;6;0;0.69;0.55;2
3393;articulated;0;0;0;1;1;0;1;0;1;1;1;6;0;0.52;0.55;1
3394;telemedicine;0;0;0;0;5;0;0;0;0;1;0;6;0;1.51;0.55;5
3395;coordinate;1;1;2;0;0;0;0;0;1;1;0;6;0;0.69;0.55;2
3396;trace;0;0;0;0;1;0;0;1;2;2;0;6;0;0.82;0.55;2
3397;cvd;0;0;0;0;4;0;0;2;0;0;0;6;0;1.29;0.55;4
3398;u;0;2;0;2;0;1;0;0;0;1;0;6;0;0.82;0.55;2
3399;store;0;0;0;0;1;0;0;2;2;0;1;6;0;0.82;0.55;2
3400;interpret;0;0;0;0;0;1;2;2;0;0;1;6;0;0.82;0.55;2
3401;mask;1;0;1;0;0;0;0;2;0;0;2;6;0;0.82;0.55;2
3402;9.5;0;2;2;0;0;0;1;0;0;0;1;6;0;0.82;0.55;2
3403;kinship;1;0;0;1;1;0;0;0;2;0;1;6;0;0.69;0.55;2
3404;departure;2;1;0;1;0;0;0;1;1;0;0;6;0;0.69;0.55;2
3405;adct;0;0;0;0;6;0;0;0;0;0;0;6;0;1.81;0.55;6
3406;nerve;0;0;0;0;2;2;0;0;1;1;0;6;0;0.82;0.55;2
3407;career;0;0;0;1;0;0;0;0;3;1;1;6;0;0.93;0.55;3
3408;divi;0;0;0;0;1;0;0;0;0;5;0;6;0;1.51;0.55;5
3409;transcapsular;0;6;0;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3410;inside;1;0;0;0;1;1;2;0;0;0;1;6;0;0.69;0.55;2
3411;historic;0;0;0;0;0;0;1;1;3;0;1;6;0;0.93;0.55;3
3412;nondirecte;1;0;2;0;1;0;0;0;2;0;0;6;0;0.82;0.55;2
3413;.003;0;1;0;1;0;1;1;0;1;1;0;6;0;0.52;0.55;1
3414;supervise;0;1;0;0;0;0;1;1;1;1;1;6;0;0.52;0.55;1
3415;engineer;0;0;0;1;1;0;2;1;0;1;0;6;0;0.69;0.55;2
3416;indian;0;2;2;0;0;0;0;0;2;0;0;6;0;0.93;0.55;2
3417;anhepatic;0;4;0;1;0;1;0;0;0;0;0;6;0;1.21;0.55;4
3418;od;0;0;0;0;0;0;0;0;0;1;5;6;0;1.51;0.55;5
3419;shortcoming;0;1;0;0;1;0;0;0;1;2;1;6;0;0.69;0.55;2
3420;mainstream;3;0;0;0;0;0;1;0;1;1;0;6;0;0.93;0.55;3
3421;comorbid;0;0;0;0;1;2;0;2;0;1;0;6;0;0.82;0.55;2
3422;realm;0;0;0;0;0;0;2;2;1;1;0;6;0;0.82;0.55;2
3423;belgian;1;1;0;0;1;0;0;1;0;1;1;6;0;0.52;0.55;1
3424;pitfall;0;1;0;0;0;1;1;0;0;3;0;6;0;0.93;0.55;3
3425;pronounce;0;1;1;0;0;1;0;2;1;0;0;6;0;0.69;0.55;2
3426;regularly;0;0;0;0;1;1;0;0;1;1;2;6;0;0.69;0.55;2
3427;respectful;0;0;0;0;1;0;2;2;1;0;0;6;0;0.82;0.55;2
3428;utilitarianism;1;0;0;0;0;1;0;1;3;0;0;6;0;0.93;0.55;3
3429;trl;6;0;0;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3430;d-;0;0;0;0;0;0;0;0;1;0;5;6;0;1.51;0.55;5
3431;vehicle;0;1;3;0;0;2;0;0;0;0;0;6;0;1.04;0.55;3
3432;maximise;0;0;0;0;0;0;1;0;1;2;2;6;0;0.82;0.55;2
3433;se;1;0;0;1;0;2;1;0;1;0;0;6;0;0.69;0.55;2
3434;provincial;0;0;0;0;1;0;0;1;1;3;0;6;0;0.93;0.55;3
3435;womb;0;0;0;0;1;1;0;3;0;1;0;6;0;0.93;0.55;3
3436;reasonably;0;0;0;0;1;0;2;0;1;2;0;6;0;0.82;0.55;2
3437;fix;0;0;0;0;1;0;1;0;2;0;2;6;0;0.82;0.55;2
3438;eeg;6;0;0;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3439;biventricular;0;3;0;0;0;1;0;0;0;2;0;6;0;1.04;0.55;3
3440;analogy;1;0;0;0;0;4;0;0;0;1;0;6;0;1.21;0.55;4
3441;readiness;0;0;0;0;0;0;3;0;0;2;1;6;0;1.04;0.55;3
3442;2-year;0;0;0;0;0;0;1;4;0;0;1;6;0;1.21;0.55;4
3443;absent;1;0;0;3;0;0;1;0;0;1;0;6;0;0.93;0.55;3
3444;piece;2;1;1;1;1;0;0;0;0;0;0;6;0;0.69;0.55;2
3445;inhibit;0;0;0;0;1;0;0;1;0;2;2;6;0;0.82;0.55;2
3446;1.03;2;0;0;0;1;0;0;0;0;1;2;6;0;0.82;0.55;2
3447;calculation;2;0;2;0;0;0;0;1;0;0;1;6;0;0.82;0.55;2
3448;accident;0;1;1;0;0;0;0;3;0;1;0;6;0;0.93;0.55;3
3449;simulation;0;0;0;0;0;1;0;0;3;2;0;6;0;1.04;0.55;3
3450;attendee;0;0;0;0;0;1;3;0;0;1;1;6;0;0.93;0.55;3
3451;oht;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3452;1966;0;0;0;0;0;2;2;0;1;0;1;6;0;0.82;0.55;2
3453;r2;0;0;0;0;0;0;6;0;0;0;0;6;0;1.81;0.55;6
3454;flawed;1;0;0;0;0;1;1;1;1;1;0;6;0;0.52;0.55;1
3455;security;0;0;0;1;0;2;1;0;0;2;0;6;0;0.82;0.55;2
3456;clarification;0;0;0;1;1;1;1;1;0;0;1;6;0;0.52;0.55;1
3457;ciba;0;0;0;0;0;3;3;0;0;0;0;6;0;1.21;0.55;3
3458;p<0.0001;0;1;2;1;1;0;0;0;0;1;0;6;0;0.69;0.55;2
3459;preferable;0;1;1;1;0;0;1;0;1;0;1;6;0;0.52;0.55;1
3460;intrinsic;0;2;0;0;3;0;0;0;0;0;1;6;0;1.04;0.55;3
3461;lod;0;0;0;0;0;0;0;0;0;3;3;6;0;1.21;0.55;3
3462;heteronomy;0;0;0;0;6;0;0;0;0;0;0;6;0;1.81;0.55;6
3463;permanently;5;0;0;0;0;0;0;0;0;0;1;6;0;1.51;0.55;5
3464;execution;0;4;0;1;0;0;0;0;0;1;0;6;0;1.21;0.55;4
3465;halt;0;0;0;0;2;2;1;1;0;0;0;6;0;0.82;0.55;2
3466;chair;0;0;0;0;0;3;0;0;1;0;2;6;0;1.04;0.55;3
3467;formulation;0;0;0;0;2;0;3;1;0;0;0;6;0;1.04;0.55;3
3468;amount;1;0;0;0;0;4;0;0;1;0;0;6;0;1.21;0.55;4
3469;iri;0;0;0;0;0;0;0;0;0;4;2;6;0;1.29;0.55;4
3470;caution;0;0;0;1;1;1;0;0;1;0;2;6;0;0.69;0.55;2
3471;demanding;0;0;0;1;0;0;0;1;1;3;0;6;0;0.93;0.55;3
3472;nonadherence;0;0;0;1;1;0;0;1;2;1;0;6;0;0.69;0.55;2
3473;firstly;0;2;0;0;2;0;0;1;0;1;0;6;0;0.82;0.55;2
3474;unlawful;1;1;1;1;0;0;2;0;0;0;0;6;0;0.69;0.55;2
3475;cdad;0;0;0;0;0;0;6;0;0;0;0;6;0;1.81;0.55;6
3476;authorized;0;0;0;0;0;0;4;0;0;0;2;6;0;1.29;0.55;4
3477;overwhelming;1;0;1;1;0;0;0;1;1;0;1;6;0;0.52;0.55;1
3478;host;1;0;0;2;2;0;0;1;0;0;0;6;0;0.82;0.55;2
3479;involved;1;1;1;0;1;1;0;0;1;0;0;6;0;0.52;0.55;1
3480;processing;0;0;0;0;1;1;0;3;1;0;0;6;0;0.93;0.55;3
3481;mrss;0;6;0;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3482;precaution;0;0;0;3;0;0;1;0;0;0;2;6;0;1.04;0.55;3
3483;56;0;0;0;0;1;2;1;0;0;0;2;6;0;0.82;0.55;2
3484;splitting;0;1;0;0;1;0;2;0;0;2;0;6;0;0.82;0.55;2
3485;retention;0;0;0;0;0;0;2;1;2;1;0;6;0;0.82;0.55;2
3486;3.5;0;1;1;1;0;1;0;0;2;0;0;6;0;0.69;0.55;2
3487;somewhat;0;0;0;1;0;2;1;0;1;1;0;6;0;0.69;0.55;2
3488;achievement;0;0;0;0;2;1;0;0;2;0;1;6;0;0.82;0.55;2
3489;insulin;0;0;0;0;1;0;2;1;0;2;0;6;0;0.82;0.55;2
3490;saline;0;0;0;0;2;1;0;2;1;0;0;6;0;0.82;0.55;2
3491;uptake;0;4;0;0;0;0;0;1;1;0;0;6;0;1.21;0.55;4
3492;landmark;0;0;2;0;1;0;0;0;3;0;0;6;0;1.04;0.55;3
3493;ukd;0;0;0;0;0;0;0;0;0;0;6;6;0;1.81;0.55;6
3494;repeatedly;1;1;0;1;0;1;1;0;1;0;0;6;0;0.52;0.55;1
3495;software;0;0;0;0;0;1;3;0;1;1;0;6;0;0.93;0.55;3
3496;assent;0;0;0;0;0;0;1;2;0;3;0;6;0;1.04;0.55;3
3497;electronically;0;0;0;0;0;1;3;0;0;1;1;6;0;0.93;0.55;3
3498;hsi;0;0;0;0;0;0;0;0;0;0;6;6;0;1.81;0.55;6
3499;tensor;0;0;0;2;0;0;4;0;0;0;0;6;0;1.29;0.55;4
3500;koplin;0;0;0;0;0;3;3;0;0;0;0;6;0;1.21;0.55;3
3501;obligatory;0;0;2;1;1;0;1;0;0;1;0;6;0;0.69;0.55;2
3502;posthumous;0;0;0;3;0;1;0;0;0;2;0;6;0;1.04;0.55;3
3503;cllt;0;0;0;0;0;0;0;0;4;2;0;6;0;1.29;0.55;4
3504;enhanced;0;3;0;0;0;1;0;1;0;1;0;6;0;0.93;0.55;3
3505;totally;0;0;1;1;2;1;0;0;0;1;0;6;0;0.69;0.55;2
3506;charter;1;0;0;1;0;0;0;1;3;0;0;6;0;0.93;0.55;3
3507;unused;0;0;0;0;0;0;0;1;1;1;3;6;0;0.93;0.55;3
3508;transcribe;0;0;1;1;1;0;0;0;1;1;1;6;0;0.52;0.55;1
3509;predominantly;0;0;1;0;2;0;0;0;2;1;0;6;0;0.82;0.55;2
3510;cast;0;0;1;0;1;2;0;0;0;2;0;6;0;0.82;0.55;2
3511;ost;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3512;resection;0;0;2;0;0;2;1;1;0;0;0;6;0;0.82;0.55;2
3513;print;0;0;1;0;0;1;1;2;1;0;0;6;0;0.69;0.55;2
3514;trajectory;0;0;0;0;0;1;1;1;0;3;0;6;0;0.93;0.55;3
3515;route;0;1;0;1;0;1;0;0;2;0;1;6;0;0.69;0.55;2
3516;94;1;1;0;0;0;1;0;0;2;1;0;6;0;0.69;0.55;2
3517;inhabitant;0;1;0;2;0;0;3;0;0;0;0;6;0;1.04;0.55;3
3518;confer;2;1;0;0;0;2;0;0;1;0;0;6;0;0.82;0.55;2
3519;pretest;0;0;0;0;0;0;6;0;0;0;0;6;0;1.81;0.55;6
3520;pa;0;0;0;0;0;1;0;0;0;5;0;6;0;1.51;0.55;5
3521;petinia;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3522;dangerous;0;0;1;0;1;4;0;0;0;0;0;6;0;1.21;0.55;4
3523;integral;0;3;0;0;0;0;1;0;1;1;0;6;0;0.93;0.55;3
3524;navigate;0;0;0;1;0;1;0;1;1;0;2;6;0;0.69;0.55;2
3525;baby;0;0;1;0;0;0;1;0;3;0;1;6;0;0.93;0.55;3
3526;optimally;0;0;2;0;1;0;3;0;0;0;0;6;0;1.04;0.55;3
3527;76;0;0;1;0;2;1;1;0;1;0;0;6;0;0.69;0.55;2
3528;focused;0;0;2;0;0;1;1;0;0;2;0;6;0;0.82;0.55;2
3529;utilise;2;0;0;1;0;0;0;0;3;0;0;6;0;1.04;0.55;3
