;meshterms;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
320;state medicine;1;0;0;0;1;0;0;0;0;1;0;3;0;0.47;0.27;1
321;species specificity;0;0;0;0;0;1;0;1;1;0;0;3;0;0.47;0.27;1
322;organizational objectives;3;0;0;0;0;0;0;0;0;0;0;3;0;0.9;0.27;3
323;continental population groups;0;0;0;1;0;1;0;0;1;0;0;3;0;0.47;0.27;1
324;employment;0;1;1;0;0;0;0;0;0;0;1;3;0;0.47;0.27;1
325;love;0;0;2;0;1;0;0;0;0;0;0;3;0;0.65;0.27;2
326;access to information;1;1;0;0;0;0;1;0;0;0;0;3;0;0.47;0.27;1
327;clinical competence;0;0;0;1;0;0;0;1;0;1;0;3;0;0.47;0.27;1
328;therapeutic equipoise;0;2;0;0;0;1;0;0;0;0;0;3;0;0.65;0.27;2
329;surgeons;0;0;0;0;0;0;1;0;0;2;0;3;0;0.65;0.27;2
330;mental competency;0;0;0;2;0;0;0;1;0;0;0;3;0;0.65;0.27;2
331;european continental ancestry group;0;0;0;0;0;0;0;1;0;1;1;3;0;0.47;0.27;1
332;consent forms;0;0;0;1;0;0;0;0;0;2;0;3;0;0.65;0.27;2
333;health behavior;1;0;0;0;0;0;1;1;0;0;0;3;0;0.47;0.27;1
334;regression analysis;0;0;0;0;0;0;0;2;0;1;0;3;0;0.65;0.27;2
335;health promotion;1;0;1;0;1;0;0;0;0;0;0;3;0;0.47;0.27;1
336;probability;1;0;0;1;0;0;0;0;0;1;0;3;0;0.47;0.27;1
337;perfusion;0;0;0;0;0;0;0;1;1;1;0;3;0;0.47;0.27;1
338;social class;1;0;0;0;0;1;0;0;0;1;0;3;0;0.47;0.27;1
339;persuasive communication;1;0;0;1;0;0;1;0;0;0;0;3;0;0.47;0.27;1
340;delivery of health care;0;0;0;0;0;0;0;1;1;0;1;3;0;0.47;0.27;1
341;hepacivirus;0;0;0;0;0;0;0;1;0;1;1;3;0;0.47;0.27;1
342;postoperative care;0;1;1;1;0;0;0;0;0;0;0;3;0;0.47;0.27;1
343;treatment failure;1;1;0;0;0;0;1;0;0;0;0;3;0;0.47;0.27;1
344;health status disparities;0;0;0;0;0;0;0;0;2;1;0;3;0;0.65;0.27;2
345;safety;1;0;0;0;0;0;0;1;0;1;0;3;0;0.47;0.27;1
346;research;1;0;0;0;0;1;0;1;0;0;0;3;0;0.47;0.27;1
347;diffusion of innovation;1;0;0;0;1;0;0;0;0;1;0;3;0;0.47;0.27;1
348;heterografts;0;0;0;0;0;0;0;1;0;1;1;3;0;0.47;0.27;1
349;hand transplantation;2;0;0;0;0;0;0;0;1;0;0;3;0;0.65;0.27;2
350;congenital abnormalities;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
351;ethnic groups;1;0;1;0;0;0;0;0;0;1;0;3;0;0.47;0.27;1
352;eligibility determination;0;0;0;0;0;0;1;0;0;1;1;3;0;0.47;0.27;1
353;workforce;0;0;0;2;1;0;0;0;0;0;0;3;0;0.65;0.27;2
354;respiratory function tests;1;1;1;0;0;0;0;0;0;0;0;3;0;0.47;0.27;1
355;drug overdose;0;2;0;0;0;0;1;0;0;0;0;3;0;0.65;0.27;2
356;cost of illness;0;0;0;0;0;0;1;0;0;1;1;3;0;0.47;0.27;1
357;fathers;0;0;1;0;0;0;2;0;0;0;0;3;0;0.65;0.27;2
358;travel;1;1;0;0;0;0;1;0;0;0;0;3;0;0.47;0.27;1
359;psychology;1;0;0;1;1;0;0;0;0;0;0;3;0;0.47;0.27;1
360;friends;0;0;1;0;0;1;0;0;0;1;0;3;0;0.47;0.27;1
361;liver;0;0;0;0;0;0;1;2;0;0;0;3;0;0.65;0.27;2
362;siblings;0;0;3;0;0;0;0;0;0;0;0;3;0;0.9;0.27;3
363;asian continental ancestry group;1;2;0;0;0;0;0;0;0;0;0;3;0;0.65;0.27;2
364;mice;0;1;0;0;0;0;1;1;0;0;0;3;0;0.47;0.27;1
365;cell differentiation;0;2;0;0;0;0;0;1;0;0;0;3;0;0.65;0.27;2
366;cardiopulmonary resuscitation;1;0;0;0;0;1;1;0;0;0;0;3;0;0.47;0.27;1
367;cell culture techniques;0;2;0;0;0;0;0;1;0;0;0;3;0;0.65;0.27;2
368;social stigma;0;0;0;0;0;0;1;0;1;0;1;3;0;0.47;0.27;1
369;spouses;0;0;2;1;0;0;0;0;0;0;0;3;0;0.65;0.27;2
370;fertilization in vitro;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
371;sample size;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
372;disclosure;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
373;rare diseases;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
374;narration;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
375;cold ischemia;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
376;blood circulation;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
377;brain injuries;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
378;sus scrofa;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
379;patient acceptance of health care;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
380;tissue scaffolds;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
381;professional autonomy;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
382;critical illness;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
383;private sector;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
384;chimera;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
385;hippocratic oath;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
386;pennsylvania;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
387;contrast media;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
388;emigrants and immigrants;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
389;injury severity score;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
390;regenerative medicine;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
391;treatment refusal;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
392;markov chains;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
393;cost savings;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
394;computer simulation;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
395;leadership;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
396;emergencies;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
397;finland;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
398;haplotypes;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
399;publishing;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
400;middle east;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
401;philosophy;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
402;phylogeny;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
403;crime;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
404;thinking;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
405;moral status;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
406;health surveys;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
407;saudi arabia;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
408;jews;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
409;health resources;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
410;fear;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
411;hemodynamics;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
412;health expenditures;0;0;0;0;0;0;1;0;0;1;0;2;0;0.4;0.18;1
413;confusion;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
414;diet;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
415;hispanic americans;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
416;islets of langerhans transplantation;0;0;0;0;0;0;1;0;0;0;1;2;0;0.4;0.18;1
417;laparoscopy;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
418;mortality;0;0;0;0;0;0;1;0;0;1;0;2;0;0.4;0.18;1
419;alleles;0;0;0;0;0;0;1;0;0;0;1;2;0;0.4;0.18;1
420;accidents;0;0;0;0;0;0;0;2;0;0;0;2;0;0.6;0.18;2
421;propensity score;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
422;transplantation chimera;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
423;live birth;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
424;occupational exposure;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
425;feces;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
426;nurses;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
427;telemedicine;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
428;health equity;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
429;united states public health service;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
430;poland;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
431;video recording;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
432;stakeholder participation;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
433;informed consent by minors;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
434;respect;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
435;expert testimony;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
436;technology transfer;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
437;personal satisfaction;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
438;hospitalization;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
439;nuclear family;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
440;new york city;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
441;triage;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
442;health personnel;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
443;neuropsychological tests;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
444;activities of daily living;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
445;ethicists;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
446;life;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
447;research personnel;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
448;fetal blood;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
449;truth disclosure;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
450;anecdotes as topic;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
451;extracorporeal circulation;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
452;australasia;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
453;privacy;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
454;pain measurement;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
455;denmark;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
456;fertility;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
457;compensation and redress;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
458;face;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
459;guideline adherence;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
460;hepatectomy;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
461;self care;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
462;genetic engineering;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
463;theology;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
464;motor skills;1;0;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
465;hysterectomy;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
466;embryo transfer;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
467;operative time;0;0;0;0;0;1;0;1;0;0;0;2;0;0.4;0.18;1
468;health services research;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
469;phenotype;0;0;0;0;0;1;0;1;0;0;0;2;0;0.4;0.18;1
470;pedigree;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
471;genetic testing;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
472;tissue engineering;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
473;genetic variation;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
474;apolipoprotein l1;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
475;jurisprudence;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
476;flow cytometry;0;0;0;0;0;1;0;1;0;0;0;2;0;0.4;0.18;1
477;family conflict;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
478;vascular patency;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
479;disability evaluation;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
480;body image;1;0;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
481;housing;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
482;drug monitoring;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
483;health education;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
484;preoperative care;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
485;medical audit;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
486;advance directive adherence;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
487;life style;0;1;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
488;minors;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
489;combined modality therapy;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
490;presumed consent;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
491;guilt;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
492;health priorities;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
493;smoking cessation;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
494;ultrasonography;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
495;delayed graft function;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
496;marital status;1;0;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
497;wedge argument;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
498;paternity;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
499;chicago;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
500;scotland;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
501;philadelphia;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
502;social media;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
503;advertising;1;0;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
504;malaysia;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
505;professional competence;1;0;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
506;advance care planning;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
507;disabled persons;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
508;hospital bed capacity;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
509;disease management;0;1;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
510;curriculum;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
511;pan troglodytes;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
512;workload;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
513;mothers;1;0;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
514;reward;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
515;statistics as topic;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
516;drug interactions;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
517;anniversaries and special events;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
518;government agencies;1;0;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
519;empirical research;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
520;living wills;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
521;organizational policy;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
522;electroencephalography;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
523;fees and charges;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
524;operating rooms;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
525;cultural diversity;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
526;paternalism;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
527;taiwan;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
528;government programs;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
529;nutritional support;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
530;career mobility;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
531;sorafenib;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
532;goals;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
533;gadolinium dtpa;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
534;abatacept;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
535;personally identifiable information;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
536;narrative medicine;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
537;spin labels;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
538;dietary proteins;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
539;interinstitutional relations;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
540;students;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
541;asian americans;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
542;drug industry;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
543;economic competition;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
544;patents as topic;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
545;glasgow coma scale;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
546;tertiary care centers;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
547;animal use alternatives;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
548;nutrition assessment;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
549;malpractice;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
550;hope;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
551;cardiopulmonary bypass;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
552;concept formation;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
553;morocco;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
554;cell survival;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
555;tissue transplantation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
556;metaphysics;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
557;civil rights;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
558;birth rate;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
559;immunization schedule;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
560;cold temperature;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
561;printing;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
562;self efficacy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
563;physician executives;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
564;respiration;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
565;erythrocyte transfusion;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
566;phenylurea compounds;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
567;health literacy;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
568;africa south of the sahara;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
569;elective surgical procedures;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
570;hospitals;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
571;aging;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
572;mental disorders;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
573;imagination;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
574;disease outbreaks;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
575;chemical phenomena;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
576;medical device legislation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
577;longevity;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
578;drug stability;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
579;dogs;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
580;cell movement;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
581;diseases in twins;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
582;influenza vaccines;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
583;nerve regeneration;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
584;international classification of diseases;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
585;datasets as topic;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
586;quebec;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
587;bolivia;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
588;reference values;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
589;clinical studies as topic;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
590;decision trees;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
591;grounded theory;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
592;helsinki declaration;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
593;heart diseases;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
594;united states health resources and services administration;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
595;bereavement;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
596;marijuana smoking;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
597;international agencies;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
598;new york;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
599;supine position;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
600;pregnancy rate;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
601;risk reduction behavior;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
602;case management;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
603;immune tolerance;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
604;sexual behavior;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
605;skin transplantation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
606;ceremonial behavior;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
607;insulin resistance;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
608;glucose tolerance test;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
609;neurology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
610;biology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
611;electromyography;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
612;electrocardiography;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
613;patient reported outcome measures;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
614;rodentia;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
615;proxy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
616;vatican city;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
617;academies and institutes;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
618;mutation;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
619;early diagnosis;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
620;depression;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
621;tissue survival;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
622;atrial fibrillation;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
623;autopsy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
624;early detection of cancer;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
625;cognition disorders;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
626;depersonalization;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
627;cardiology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
628;feedback;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
629;amputation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
630;magnetic resonance imaging;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
631;endpoint determination;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
632;nigeria;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
633;joint commission on accreditation of healthcare organizations;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
634;prosthesis implantation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
635;organ specificity;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
636;uterus;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
